originf,dev,value,development
2007,1,3511,2007
2008,1,4001,2008
2009,1,4355,2009
2010,1,4295,2010
2011,1,4150,2011
2012,1,5102,2012
2013,1,6283,2013
2007,2,6726,2008
2008,2,7703,2009
2009,2,8287,2010
2010,2,7750,2011
2011,2,7897,2012
2012,2,9650,2013
2007,3,8992,2009
2008,3,9981,2010
2009,3,10233,2011
2010,3,9773,2012
2011,3,10217,2013
2007,4,10704,2010
2008,4,11161,2011
2009,4,11755,2012
2010,4,11093,2013
2007,5,11763,2011
2008,5,12117,2012
2009,5,12993,2013
2007,6,12350,2012
2008,6,12746,2013
2007,7,12690,2013
